Sample_Name,actualname,Sample_Group,Pool_ID,Sentrix_ID,Sentrix_Position,batch,UpdatedNames
06-1319 T_203723050101_R01C01,203723050101_R01C01,S,5,2.04E+11,R01C01,c,S5
06-1319 N_203723050101_R02C01,203723050101_R02C01,N,5,2.04E+11,R02C01,c,N5
68658 T_203723050101_R03C01,203723050101_R03C01,S,1,2.04E+11,R03C01,c,S1
68658 N_203723050101_R04C01,203723050101_R04C01,N,1,2.04E+11,R04C01,c,N1
35534 T_203723050101_R05C01,203723050101_R05C01,S,6,2.04E+11,R05C01,c,S6
35534 N_203723050101_R06C01,203723050101_R06C01,N,6,2.04E+11,R06C01,c,N6
25653 T_203723050101_R07C01,203723050101_R07C01,S,2,2.04E+11,R07C01,c,S2
25653 N_203723050101_R08C01,203723050101_R08C01,N,2,2.04E+11,R08C01,c,N2
57 B1_203723050102_R01C01,203723050102_R01C01,S,7,2.04E+11,R01C01,c,S7
57 E1_203723050102_R02C01,203723050102_R02C01,N,7,2.04E+11,R02C01,c,N7
59 B1_203723050102_R03C01,203723050102_R03C01,S,3,2.04E+11,R03C01,c,S3
59 E1_203723050102_R04C01,203723050102_R04C01,N,3,2.04E+11,R04C01,c,N3
141 B1_203723050102_R05C01,203723050102_R05C01,S,8,2.04E+11,R05C01,c,S8
141 E1_203723050102_R06C01,203723050102_R06C01,N,8,2.04E+11,R06C01,c,N8
40874 T_203723050102_R07C01,203723050102_R07C01,S,4,2.04E+11,R07C01,c,S4
40874 N_203723050102_R08C01,203723050102_R08C01,N,4,2.04E+11,R08C01,c,N4
T6_203841900047_R01C01,203841900047_R01C01,T,6,2.04E+11,R01C01,b,T6
T8_203841900047_R04C01,203841900047_R04C01,T,8,2.04E+11,R04C01,b,T8
N9_203841900047_R05C01,203841900047_R05C01,N,9,2.04E+11,R05C01,b,N9
S9_203841900047_R06C01,203841900047_R06C01,S,9,2.04E+11,R06C01,b,S9
N12_203841900047_R07C01,203841900047_R07C01,N,12,2.04E+11,R07C01,b,N12
S12_203841900047_R08C01,203841900047_R08C01,S,12,2.04E+11,R08C01,b,S12
N11_203841900046_R04C01,203841900046_R04C01,N,11,2.04E+11,R04C01,b,N11
P11_203841900046_R05C01,203841900046_R05C01,P,11,2.04E+11,R05C01,b,P11
S11_203841900046_R06C01,203841900046_R06C01,S,11,2.04E+11,R06C01,b,S11
N13_203841900046_R07C01,203841900046_R07C01,N,13,2.04E+11,R07C01,b,N13
L13_203841900046_R08C01,203841900046_R08C01,L,13,2.04E+11,R08C01,b,L13
