loc	n.tags	auc	probes	genes	Healthy FTM mean	Healthy FTM sd	Adj. norm. FTE mean	Adj. norm. FTE sd	P53 signature mean	P53 signature sd	STIC mean	STIC sd	HGSC mean	HGSC sd
chr5 178422415:178422431	2	0.98	"cg25423752,cg02229543"	GRM6	0.060410384	0.017728033	0.114579521	0.02853317	0.194803514	0.154026967	0.265627722	0.000528904	0.333692358	0.00237925
chr5 140753387:140753418	3	0.97	"cg01357507,cg09066326,cg03835609"	"PCDHGA6,PCDHGA1,PCDHGA2,PCDHGA3,PCDHGA4,PCDHGA5,PCDHGB1,PCDHGB2,PCDHGB3"	0.073117562	0.02535641	0.162451599	0.028815413	0.117026668	0.092882777	0.331472274	0.018366235	0.472739284	0.042316884
chr1 149784212:149784571	2	0.97	"cg04888113,cg12769994"	HIST2H2BF	0.045403997	0.0152009	0.111310632	0.011760449	0.093150094	0.016595311	0.245071113	0.010022646	0.286037044	0.039203257
chr2 182545768:182545934	3	0.96	"cg02819605,cg01863682,cg20709008"	NEUROD1	0.045236321	0.005942148	0.172540508	0.064258141	0.190067135	0.080827758	0.315086476	0.073760004	0.327354119	0.06866018
chr1 215255572:215255716	2	0.96	"cg08453036,cg17934948"	KCNK2	0.068532962	0.009308879	0.149686169	0.054382932	0.079069711	0.068889095	0.373534724	0.073163852	0.478517867	0.020133603
chr2 207506675:207506991	3	0.96	"cg20841047,cg08057136,cg12110911"	LOC200726	0.061439179	0.025980588	0.118957383	0.015419579	0.113683574	0.058630664	0.237190107	0.111277607	0.305071094	0.059845913
chr14 57278351:57279275	4	0.95	"cg05241355,cg21039708,cg25092838,cg23478293"	"OTX2OS1,OTX2"	0.050547399	0.015354144	0.177138691	0.072011913	0.211500872	0.180145388	0.342461813	0.045089887	0.41797384	0.025836928
chr2 220174232:220174325	2	0.95	"cg03970036,cg15119274"	PTPRN	0.03992462	0.015116724	0.087341195	0.023919274	0.067246474	0.051271655	0.309854667	0.063039364	0.351817144	0.062305131
chr18 12307329:12307649	3	0.94	"cg16546503,cg07307078,cg03507241"	TUBB6	0.052917969	0.013244509	0.348949861	0.150707926	0.417239794	0.178761126	0.463914837	0.046296379	0.546742131	0.050641732
chr8 50822281:50822565	5	0.94	"cg09246637,cg19254369,cg00230631,cg10767350,cg03759824"	SNTG1	0.049772858	0.052754985	0.081271652	0.056213119	0.123196829	0.08164908	0.206525602	0.054071171	0.323031342	0.052534994
chr5 2751550:2751837	3	0.94	"cg18371475,cg15941948,cg10237977"	"IRX2,C5orf38"	0.023921748	0.006712232	0.065942167	0.03151647	0.173088686	0.123475103	0.168653774	0.103698895	0.377855051	0.131817273
chr6 127840616:127840704	2	0.94	"cg25929533,cg12695797"	C6orf174	0.082915162	0.010037821	0.132617298	0.028692599	0.083467214	0.018036285	0.215962586	0.030605982	0.369023056	0.003410182
chr6 26044204:26044495	6	0.93	"cg15387132,cg07701237,cg26426142,cg02221866,cg11503599"	"HIST1H2BB,HIST1H3C"	0.044253015	0.007767014	0.073794982	0.025785546	0.065213624	0.053637117	0.283256981	0.073198091	0.457418544	0.065860476
chr2 145277843:145278152	3	0.93	"cg26522240,cg04836221,cg05322294"	"ZEB2,LINC01412,ZEB2-AS1"	0.041145792	0.033753422	0.104402019	0.072517618	0.061340952	0.048133206	0.202808308	0.111563772	0.281782063	0.084477594
chr14 60975174:60975199	2	0.93	"cg07747306,cg13769906"	SIX6	0.108318325	0.023000494	0.152236934	0.007583222	0.185551865	0.025400864	0.241947826	0.02596148	0.441410181	0.073052943
chr5 140624869:140624898	2	0.93	"cg03572772,cg18606364"	PCDHB15	0.051927335	0.001066086	0.185266972	0.08511453	0.15420737	0.117186032	0.40278014	0.040259735	0.384118889	0.089680894
chr8 102217712:102217722	2	0.93	"cg01767118,cg11878182"	ZNF706	0.029382659	0.006561737	0.11960825	0.030004398	0.104523245	0.034364526	0.223617587	0.001076866	0.259679909	0.004855628
chr3 62861142:62861245	3	0.92	"cg13491481,cg25947544,cg02719752"	CADPS	0.027427849	0.022936106	0.077909	0.03225371	0.196838853	0.075160699	0.185002372	0.06770726	0.288697837	0.036773548
chr6 26183508:26183684	5	0.91	"cg21146268,cg22942804,cg22036966,cg07997936,cg26191923"	HIST1H2BE	0.050750129	0.010906667	0.126423748	0.028586788	0.074097854	0.0292974	0.361741351	0.046432923	0.404769805	0.044694849
chr17 58498712:58498977	3	0.91	"cg22191510,cg10179315,cg09695735"	C17orf64	0.037046463	0.021086717	0.100235832	0.030882401	0.347952327	0.296589356	0.34706493	0.104496836	0.562409192	0.092908662
chr17 48546503:48546620	3	0.91	"cg13764778,cg05180443,cg06818777"	"ACSF2,CHAD"	0.085477012	0.043352522	0.119177484	0.088346516	0.125277338	0.110100914	0.226717456	0.040136785	0.442184859	0.011851663
chr3 157261004:157261021	3	0.9	"cg15570323,cg24783642,cg03358769"	C3orf55	0.027650915	0.001774316	0.087861864	0.025944788	0.061917184	0.019521418	0.272411068	0.032502502	0.367465662	0.021681388
