Genomic Location	UCSC_RefGene_Name	STIC vs.          Adj. norm. FTE AUC          	HGSC vs. Healthy FTM AUC	HGSC & STIC vs. Healthy FTM & Adj. norm FTE       AUC
chr5:141208649-141208659	PCDHB12	0.958	0.673	0.723
chr5:141407937-141407940	"PCDHGB6,PCDHGA1,PCDHGA2, É"	0.875	0.793	0.813
chr5:141417605-141417623	"PCDHGB7,PCDHGA1,PCDHGA10, É"	0.833	0.88	0.871
chr19:50667559-50667804	SHANK1	0.826	0.745	0.761
chr3:187737583-187737946	BCL6	0.826	0.807	0.81
chr17:60421510-60421683	C17orf64	0.819	0.924	0.879
chr11:2271280-2271282	ASCL2	0.812	0.789	0.753
chr11:131910988-131911000	NTM	0.806	0.855	0.804
chr17:37745219-37745526	HNF1B	0.778	0.633	0.737
chr2:153871394-153871412	GALNT13	0.771	0.782	0.746
chr6:26183280-26183344	HIST1H2BE	0.771	0.782	0.765
chr12:38905914-38906042	CPNE8	0.722	0.836	0.784
chr12:24903146-24903193	BCAT1	0.694	0.676	0.699
chr6:26043976-26044177	"HIST1H2BB,HIST1H3C"	0.632	0.815	0.76
chr17:37743962-37744227	HNF1B	0.625	0.531	0.555
chr2:42792857-42792873	HAAO	0.549	0.829	0.717
chr6:31815145-31815220	"HSPA1A,HSPA1L"	0.507	0.716	0.651
