Genomic Location*	no. tags	Probe IDs 	UCSC_RefGene_Name	STIC vs.          Adj. norm. FTE AUC          	HGSC vs. Healthy FTM AUC	HGSC & STIC vs. Healthy FTM & Adj. norm FTE       AUC					
chr5:178422415-178422431	2	"cg25423752,cg02229543"	GRM6	0.764	0.989	0.892					
chr5:140753387-140753418	3	"cg01357507,cg09066326,cg03835609"	"PCDHGA6,PCDHGA1,PCDHGA2,PCDHGA3,PCDHGA4,PCDHGA5,PCDHGB1,PCDHGB2,PCDHGB3"	0.875	0.967	0.906					
chr1:149784212-149784571	2	"cg04888113,cg12769994"	HIST2H2BF	0.722	0.967	0.898					
chr2:182545768-182545934	3	"cg02819605,cg01863682,cg20709008"	NEUROD1	0.799	0.942	0.875					
chr1:215255572-215255716	2	"cg08453036,cg17934948"	KCNK2	0.826	0.967	0.919					
chr2:207506675-207506991	3	"cg20841047,cg08057136,cg12110911"	LOC200726	0.792	0.993	0.911					
chr14:57278351-57279275	4	"cg05241355,cg21039708,cg25092838,cg23478293"	"OTX2OS1,OTX2"	0.819	0.978	0.898					
chr2:220174232-220174325	2	"cg03970036,cg15119274"	PTPRN	0.958	0.975	0.949					
chr18:12307329-12307649	3	"cg16546503,cg07307078,cg03507241"	TUBB6	0.688	0.985	0.83					
chr8:50822281-50822565	5	"cg09246637,cg19254369,cg00230631,cg10767350,cg03759824"	SNTG1	0.826	0.931	0.886					
chr5:2751550-2751837	3	"cg18371475,cg15941948,cg10237977"	"IRX2,C5orf38"	0.826	0.935	0.875					
chr6:127840616-127840704	2	"cg25929533,cg12695797"	C6orf174	0.674	0.971	0.887					
chr6:26044204-26044495	6	"cg15387132,cg07701237,cg26426142,cg02221866,cg11503599"	"HIST1H2BB,HIST1H3C"	0.618	0.844	0.764					
chr2:145277843-145278152	3	"cg26522240,cg04836221,cg05322294"	"ZEB2,LINC01412,ZEB2-AS1"	0.833	0.953	0.878					
chr14:60975174-60975199	2	"cg07747306,cg13769906"	SIX6	0.951	0.898	0.9					
chr5:140624869-140624898	2	"cg03572772,cg18606364"	PCDHB15	0.819	0.873	0.814					
chr8:102217712-102217722	2	"cg01767118,cg11878182"	ZNF706	0.736	0.92	0.861					
chr3:62861142-62861245	3	"cg13491481,cg25947544,cg02719752"	CADPS	0.674	0.887	0.832					
chr6:26183508-26183684	5	"cg21146268,cg22942804,cg22036966,cg07997936,cg26191923"	HIST1H2BE	0.722	0.84	0.778					
chr17:58498712-58498977	3	"cg22191510,cg10179315,cg09695735"	C17orf64	0.812	0.92	0.866					
chr17:48546503-48546620	3	"cg13764778,cg05180443,cg06818777"	"ACSF2,CHAD"	0.611	0.884	0.819					
chr3:157261004-157261021	3	"cg15570323,cg24783642,cg03358769"	C3orf55	0.681	0.833	0.731					
