loc	n.tags	auc	probes	genes	Healthy FTM mean	Healthy FTM sd	Adj. norm. FTE mean	Adj. norm. FTE sd	P53 signature mean	P53 signature sd	STIC mean	STIC sd	HGSC mean	HGSC sd
chr7 27185723:27185909	3	1	"cg09495769,cg25901381,cg17466857"	"HOXA11,HOXA11AS"	0.15062075	0.049677668	0.082210283	0.020405878	0.119958656	0.099423132	0.322322134	0.035751481	0.360911536	0.015804968
chr2 104868050:104868236	2	0.986	"cg22928386,cg07316846"		0.044159974	0.028672909	0.097418724	0.001185754	0.15421741	0.011567889	0.523227611	0.118023315	0.647475809	0.16686803
chr14 56812397:56812778	2	0.972	"cg25092838,cg12152002"	OTX2OS1	0.055237626	0.036423859	0.113886298	0.017979878	0.096878223	0.043655413	0.393631955	0.066117643	0.514379537	0.087483602
chr8 64377763:64377927	2	0.965	"cg10698928,cg07792478"	MIR124-2	0.031074992	0.020733344	0.078971242	0.030456137	0.088249902	0.060389741	0.340322781	0.10503174	0.440804342	0.099809756
chr1 44808360:44808376	2	0.965	"cg09292826,cg03434029"	"BTBD19,TCTEX1D4"	0.063811921	0.013894943	0.077594848	0.011860376	0.30934802	0.091015326	0.31758068	0.068192125	0.250826866	0.007191292
chr5 141208649:141208659	3	0.958	"cg17047981,cg05827573,cg12343638"	PCDHB12	0.058311916	0.025057312	0.09283529	0.008997126	0.062918984	0.001771835	0.409319219	0.101102493	0.308353869	0.046321606
chr16 68261706:68261789	2	0.958	"cg12463379,cg07273125"		0.139784612	0.02224445	0.08992343	0.001339583	0.113914578	0.055294137	0.299003351	0.006723527	0.361547339	0.068235094
chr6 133240539:133240676	2	0.938	"cg21390624,cg26501369"	EYA4	0.493572203	0.094320117	0.106415826	0.01617412	0.168224652	0.020330972	0.438342688	0.142955055	0.288187806	0.116433418
chr11 66337010:66337014	2	0.931	"cg23220439,cg14562054"	RIN1	0.303935776	0.021692653	0.095429994	0.006665589	0.058138144	0.012334081	0.326731844	0.032157009	0.369267502	0.01714709
chr3 27723918:27724055	2	0.903	"cg24961583,cg21188820"		0.079973551	0.057729502	0.081127131	0.036128567	0.096162123	0.06456225	0.331582168	0.012061347	0.427774944	0.044834626
chr1 24931655:24931734	2	0.889	"cg26256263,cg24006721"	RUNX3	0.158535633	0.020120848	0.109568593	0.000428497	0.083278176	0.017611616	0.396857916	0.017733128	0.586107237	0.028332281
chr12 14774142:14774165	2	0.889	"cg03111818,cg08855729"	H2AFJ	0.063963922	0.052409006	0.073584347	0.018135047	0.226829183	0.15756034	0.314004405	0.038008201	0.32256037	0.083715542
chr7 131111408:131111483	2	0.882	"cg15571405,cg08637787"	MKLN1	0.13003867	0.052287132	0.060324938	0.016787758	0.072208416	0.030437401	0.293301563	0.012466263	0.352986409	0.022770766
chr5 141407937:141407940	2	0.875	"cg18617005,cg18507379"	"PCDHGB6,PCDHGA1,PCDHGA2,PCDHGA3,PCDHGA4,PCDHGA5,PCDHGA6,PCDHGA7,PCDHGA8,PCDHGA9,PCDHGB1,PCDHGB2,PCDHGB3,PCDHGB4,PCDHGB5"	0.023505096	0.001507676	0.058412597	0.002531677	0.025135905	0.000880571	0.384389736	0.040456208	0.452425468	0.020228217
chr14 95714239:95714261	2	0.868	"cg19992633,cg27089768"	TCL1A	0.058175433	0.031677481	0.1093433	0.012099924	0.320063235	0.120856796	0.443000231	0.007654119	0.48048803	0.013457421
chr5 135040195:135040799	4	0.861	"cg11469026,cg09839170,cg13441766,cg14994060"	"C5orf66-AS1,C5orf66"	0.155868079	0.071194171	0.090775143	0.036211385	0.227520471	0.187341779	0.418694874	0.033385454	0.516821702	0.047895245
chr16 6019016:6019018	2	0.861	"cg10865371,cg02230017"	"RBFOX1,A2BP1"	0.024015552	0.004701742	0.085367165	0.014380864	0.069864185	0.032776348	0.404010629	0.038929116	0.274906662	0.004312463
chr5 141417605:141417623	2	0.833	"cg13933262,cg05558169"	"PCDHGB7,PCDHGA1,PCDHGA10,PCDHGA2,PCDHGA3,PCDHGA4,PCDHGA5,PCDHGA6,PCDHGA7,PCDHGA8,PCDHGA9,PCDHGB1,PCDHGB2,PCDHGB3,PCDHGB4,PCDHGB5,PCDHGB6"	0.031895348	0.005920805	0.078793653	0.005801371	0.058688094	0.000514677	0.413482594	0.05114646	0.433675029	0.096080863
chr10 23191064:23191308	3	0.833	"cg09795588,cg19161112,cg04829946"	PTF1A	0.05987095	0.022457407	0.091941302	0.004456364	0.06359147	0.019820203	0.356101276	0.025072508	0.36796911	0.058496533
chr22 27802416:27802484	2	0.833	"cg13190879,cg17326090"	MN1	0.152372062	0.030775389	0.065272149	0.003659508	0.040879332	0.002907479	0.316154597	0.053287637	0.339844259	0.045592942
