Genomic Location*	no. tags	Probe IDs 	UCSC_RefGene_Name	STIC vs.          Adj. norm. FTE AUC          	HGSC vs. Healthy FTM AUC	HGSC & STIC vs. Healthy FTM & Adj. norm FTE       AUC					
chr7:27185723-27185909	3	"cg09495769,cg25901381,cg17466857"	"HOXA11,HOXA11AS"	1	0.731	0.837					
chr2:104868050-104868236	2	"cg22928386,cg07316846"	LINC01159	0.986	1	0.995					
chr14:56812397-56812778	2	"cg25092838,cg12152002"	OTX2OS1	0.972	1	0.995					
chr8:64377763-64377927	2	"cg10698928,cg07792478"	MIR124-2	0.965	0.982	0.953					
chr1:44808360-44808376	2	"cg09292826,cg03434029"	"BTBD19,TCTEX1D4"	0.965	0.905	0.908					
chr5:141208649-141208659	3	"cg17047981,cg05827573,cg12343638"	PCDHB12	0.958	0.673	0.723					
chr16:68261706-68261789	2	"cg12463379,cg07273125"	SLC7A6	0.958	0.96	0.953					
chr6:133240539-133240676	2	"cg21390624,cg26501369"	EYA4	0.938	0.793	0.571					
chr11:66337010-66337014	2	"cg23220439,cg14562054"	RIN1	0.931	0.585	0.764					
chr3:27723918-27724055	2	"cg24961583,cg21188820"	EOMES	0.903	0.938	0.925					
chr1:24931655-24931734	2	"cg26256263,cg24006721"	RUNX3	0.889	0.804	0.839					
chr12:14774142-14774165	2	"cg03111818,cg08855729"	H2AFJ	0.889	0.8	0.82					
chr7:131111408-131111483	2	"cg15571405,cg08637787"	MKLN1	0.882	0.753	0.796					
chr5:141407937-141407940	2	"cg18617005,cg18507379"	"PCDHGB6,PCDHGA1,PCDHGA2,PCDHGA3,PCDHGA4,PCDHGA5,PCDHGA6,PCDHGA7,PCDHGA8,PCDHGA9,PCDHGB1,PCDHGB2,PCDHGB3,PCDHGB4,PCDHGB5"	0.875	0.793	0.813					
chr14:95714239-95714261	2	"cg19992633,cg27089768"	TCL1A	0.868	0.84	0.859					
chr5:135040195-135040799	4	"cg11469026,cg09839170,cg13441766,cg14994060"	"C5orf66-AS1,C5orf66"	0.861	0.88	0.892					
chr16:6019016-6019018	2	"cg10865371,cg02230017"	"RBFOX1,A2BP1"	0.861	0.855	0.758					
chr5:141417605-141417623	2	"cg13933262,cg05558169"	"PCDHGB7,PCDHGA1,PCDHGA10,PCDHGA2,PCDHGA3,PCDHGA4,PCDHGA5,PCDHGA6,PCDHGA7,PCDHGA8,PCDHGA9,PCDHGB1,PCDHGB2,PCDHGB3,PCDHGB4,PCDHGB5,PCDHGB6"	0.833	0.88	0.871					
chr10:23191064-23191308	3	"cg09795588,cg19161112,cg04829946"	PTF1A	0.833	0.964	0.921					
chr22:27802416-27802484	2	"cg13190879,cg17326090"	MN1	0.833	0.596	0.723					
chr19:50667559-50667804	2	"cg08447324,cg16658931"	SHANK1	0.826	0.745	0.761					
chr3:187737583-187737946	4	"cg00480331,cg18562663,cg07091593,cg12942328"	BCL6	0.826	0.807	0.81					
chr17:60421510-60421683	2	"cg10179315,cg06381367"	C17orf64	0.819	0.924	0.879					
chr12:93572432-93572541	2	"cg10550601,cg11225410"	"SOCS2,SOCS2-AS1"	0.812	0.96	0.888					
chr11:2271280-2271282	2	"cg15790820,cg06272038"	ASCL2	0.812	0.789	0.753					
chr1:46302920-46303892	15	"cg19439810,cg22694153,cg24305381,cg02537149,cg07865390,cg09747578,cg04410181,cg06961071,cg03343730,cg21915639,cg00122254,cg09159144,cg09826326,cg15609728,cg10592690"	"UQCRH,LRRC41"	0.806	0.895	0.733					
chr11:132943676-132943682	2	"cg09515205,cg12552289"	OPCML	0.806	0.709	0.677					
chr11:131910988-131911000	2	"cg26918812,cg17683427"	NTM	0.806	0.855	0.804					
chr17:37745219-37745526	6	"cg10772489,cg02335804,cg12788467,cg13230606,cg19378036,cg14487292"	HNF1B	0.778	0.633	0.737					
chr2:153871394-153871412	2	"cg12398124,cg21998983"	GALNT13	0.771	0.782	0.746					
chr6:26183280-26183344	2	"cg21146268,cg22942804"	HIST1H2BE	0.771	0.782	0.765					
chr17:61451955-61452125	2	"cg00849610,cg26199241"	TBX4	0.743	0.8	0.781					
chr14:24310753-24310961	2	"cg07760773,cg07509935"	"LTB4R2,CIDEB,LTB4R"	0.729	0.847	0.825					
chr12:38905914-38906042	3	"cg13509195,cg21784036,cg24182470"	CPNE8	0.722	0.836	0.784					
chr3:195896467-195896476	2	"cg00651401,cg21642245"	TNK2	0.708	0.971	0.9					
chr12:24903146-24903193	3	"cg10072115,cg23930313,cg08598454"	BCAT1	0.694	0.676	0.699					
chr8:56446145-56446162	3	"cg18331519,cg04612444,cg15064393"	"PENK,LOC101929415"	0.674	0.851	0.804					
chr1:217138189-217138266	3	"cg25755575,cg22118524,cg24630419"	ESRRG	0.639	0.738	0.717					
chr6:26043976-26044177	5	"cg15387132,cg07701237,cg26426142,cg02221866,cg21250296"	"HIST1H2BB,HIST1H3C"	0.632	0.815	0.76					
chr17:37743962-37744227	3	"cg05110178,cg11862993,cg09463047"	HNF1B	0.625	0.531	0.555					
chr2:42792857-42792873	2	"cg26360792,cg27299406"	HAAO	0.549	0.829	0.717					
chr6:31815145-31815220	3	"cg13024590,cg09085842,cg15185479"	"HSPA1A,HSPA1L"	0.507	0.716	0.651					
